month,trades_entered,trades_skipped,month_pnl,narrative
2011-08,0,1,0.0,"SKIPPED on 2011-08-22: VRP regime=EXTREMELY_RICH (raw=14.71, z=2.54) Regime=STABLE (PI_z=-1.46) Reason: BUILD_FAIL | CALL_OVERLAY_ELIGIBLE | BINDING: EQUAL | ENTER: scalar=0.000"
2011-09,0,1,0.0,"SKIPPED on 2011-09-19: VRP regime=RICH (raw=9.44, z=0.91) Regime=STABLE (PI_z=-0.08) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2011-10,1,0,6550.0,"ENTERED on 2011-10-24: | VRP regime=RICH (raw=9.76, z=0.84, scalar=1.00) | Regime=ELEVATED (PI_width=9.18, z=0.68, mult=0.75) | Composite scalar=0.500 | Strikes: 1150/1055 (width=95), 10x, credit=$6,550, DTE=23 | SPX=1254.2, VIX=29.3 | Outcome: P&L=$6,550 (0.65%) | Codes: BINDING: REGIME | ENTER: scalar=0.500"
2011-11,1,0,9750.0,"ENTERED on 2011-11-21: | VRP regime=LEAN (raw=5.66, z=-0.29, scalar=0.33) | Regime=STABLE (PI_width=9.00, z=-0.16, mult=1.00) | Composite scalar=0.614 | Strikes: 1090/995 (width=95), 13x, credit=$9,750, DTE=30 | SPX=1193.0, VIX=32.9 | Outcome: P&L=$9,750 (0.96%) | Codes: RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.614"
2011-12,0,1,0.0,"SKIPPED on 2011-12-19: VRP regime=NORMAL (raw=7.41, z=0.08) Regime=CRISIS (PI_z=1.52) Reason: REGIME_CRISIS (z=1.52)"
2012-01,1,0,8740.0,"ENTERED on 2012-01-23: | VRP regime=LEAN (raw=5.68, z=-0.32, scalar=0.33) | Regime=STABLE (PI_width=8.58, z=-2.13, mult=1.00) | Composite scalar=0.819 | Strikes: 1250/1180 (width=70), 23x, credit=$8,740, DTE=23 | SPX=1316.0, VIX=18.7 | Outcome: P&L=$8,740 (0.85%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2012-02,1,0,7820.0,"ENTERED on 2012-02-21: | VRP regime=LEAN (raw=6.20, z=-0.15, scalar=0.33) | Regime=STABLE (PI_width=8.75, z=-1.33, mult=1.00) | Composite scalar=0.819 | Strikes: 1295/1225 (width=70), 23x, credit=$7,820, DTE=29 | SPX=1362.2, VIX=18.2 | Outcome: P&L=$7,820 (0.76%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2012-03,0,1,0.0,"SKIPPED on 2012-03-19: VRP regime=INVERTED (raw=4.64, z=-0.52) Regime=STRESSED (PI_z=1.23) Reason: VRP_INVERTED (z=-0.52)"
2012-04,1,0,9690.0,"ENTERED on 2012-04-23: | VRP regime=LEAN (raw=5.91, z=-0.09, scalar=0.33) | Regime=ELEVATED (PI_width=9.13, z=0.52, mult=0.75) | Composite scalar=0.651 | Strikes: 1295/1225 (width=70), 19x, credit=$9,690, DTE=23 | SPX=1366.9, VIX=19.0 | Outcome: P&L=$9,690 (0.93%) | Codes: RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.651"
2012-05,1,0,9452.5,"ENTERED on 2012-05-21: | VRP regime=LEAN (raw=4.57, z=-0.46, scalar=0.33) | Regime=STRESSED (PI_width=9.27, z=1.17, mult=0.50) | Composite scalar=0.685 | Strikes: 1235/1160 (width=75), 19x, credit=$9,452, DTE=30 | SPX=1316.0, VIX=22.0 | Outcome: P&L=$9,452 (0.90%) | Codes: RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.685"
2012-06,0,1,0.0,"SKIPPED on 2012-06-18: VRP regime=INVERTED (raw=3.45, z=-0.83) Regime=STABLE (PI_z=-1.08) Reason: VRP_INVERTED (z=-0.83)"
